prefill_length,on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,vanilla_mean_latency_s,vanilla_std_latency_s,vanilla_mean_throughput_tok_per_s,vanilla_mean_accepted_tokens,triforce_mean_latency_s,triforce_std_latency_s,triforce_mean_throughput_tok_per_s,triforce_mean_accepted_tokens,triforce_mean_latency_s_per_token,kvquant_mean_latency_s,kvquant_std_latency_s,kvquant_mean_throughput_tok_per_s,kvquant_mean_accepted_tokens,kvquant_mean_latency_s_per_token,speedup_vanilla_vs_baseline,speedup_triforce_vs_baseline,speedup_kvquant_vs_baseline,speedup_triforce_vs_vanilla,speedup_kvquant_vs_vanilla,speedup_kvquant_vs_triforce
8192,16,16,54.31414341926575,0.0,4.71332113302176,46.16964507102966,0.0,5.5447686376223375,0.3473684210526316,17.86810557047526,0.0,14.327204358082984,6.744525547445256,0.06979728738466899,10.925784549197635,0.0,23.43081165908585,6.801498127340824,0.04267884589530326,1.1764037461346342,3.0397259074298764,4.971189315942941,2.583913828409378,4.2257510079145995,1.635407095025268
16384,16,16,98.5524320602417,0.0,2.597602054544083,93.0205352306366,0.0,2.7520804880908236,0.14732142857142858,25.920085254277566,0.0,9.876510724738166,6.542857142857143,0.10125033302452174,12.572679281234741,0.0,20.361610622016812,5.2522796352583585,0.04911202844232321,1.059469630183155,3.8021646570000263,7.838618154153936,3.5887434133838547,7.398624680538356,2.0616198563948416
24576,16,16,147.03493762016296,0.0,1.7410827939501543,119.35451555252075,0.0,2.1448706721728494,0.29949238578680204,43.30673298998931,0.0,5.911320996187277,4.5,0.16916692574214573,11.062966907070768,0.0,23.140266273089956,5.615384615384615,0.04321471448074519,1.2319176776806715,3.3951981012779524,13.290732843663056,2.7560267725600656,10.78865340148823,3.9145677062732878
32768,16,16,196.07030129432678,0.0,1.3056541368583456,162.80943751335144,0.0,1.572390421034446,0.2549019607843137,54.165871874245894,0.0,4.726223194456132,4.168734491315137,0.21158543700877303,12.936325788497925,0.0,19.78923569067944,5.088757396449704,0.05053252261132002,1.2042932172052234,3.6198125223486306,15.156567985374856,3.0057567962967107,12.585446607885386,4.187114081682018
