prefill_length,on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,vanilla_mean_latency_s,vanilla_std_latency_s,vanilla_mean_throughput_tok_per_s,vanilla_mean_accepted_tokens,triforce_mean_latency_s,triforce_std_latency_s,triforce_mean_throughput_tok_per_s,triforce_mean_accepted_tokens,triforce_mean_latency_s_per_token,kvquant_mean_latency_s,kvquant_std_latency_s,kvquant_mean_throughput_tok_per_s,kvquant_mean_accepted_tokens,kvquant_mean_latency_s_per_token,speedup_vanilla_vs_baseline,speedup_triforce_vs_baseline,speedup_kvquant_vs_baseline,speedup_triforce_vs_vanilla,speedup_kvquant_vs_vanilla,speedup_kvquant_vs_triforce
8192,16,16,54.20661520957947,0.0,4.722670821821749,46.17420148849487,0.0,5.544221486186111,0.3473684210526316,16.691340446472168,0.0,15.337294258718892,7.146245059288537,0.0652005486190319,11.40704870223999,0.0,22.442264137061986,6.096551724137931,0.04455878399312496,1.1739589091342708,3.247589094681513,4.752028033240094,2.766356700743835,4.047865727041885,1.4632479339896662
16384,16,16,99.34749436378479,0.0,2.576813855642844,93.8585135936737,0.0,2.7275096333643094,0.14732142857142858,26.390118837356567,0.0,9.700600500427413,6.225352112676056,0.10308640170842409,12.40089750289917,0.0,20.643667116847833,5.391304347826087,0.04844100587069988,1.0584814372180837,3.7645716935216416,8.011314853667537,3.5565779060006415,7.568687151210693,2.128081361142361
24576,16,16,147.70014929771423,0.0,1.7332413082669902,119.90185403823853,0.0,2.1350795786557035,0.29949238578680204,32.793491742083134,0.0,7.806427019525984,6.561151079136691,0.12809957711751224,11.414453637508945,0.0,22.42770509477216,5.743589743589744,0.04458770952151932,1.2318420801951102,4.503947016662884,12.939747620714666,3.656269816622523,10.504388369867305,2.8729795383565886
32768,16,16,195.49762392044067,0.0,1.3094788308229324,162.21536684036255,0.0,1.5781488830952228,0.2549019607843137,49.90266299247742,0.0,5.129986751179807,5.134328358208955,0.1949322773143649,13.533040519889074,0.0,18.91666544733721,5.215339233038348,0.052863439530816694,1.2051732688977084,3.9175789867148167,14.445949794735641,3.2506354794095,11.986616503657094,3.687468674843401
