prefill_length,on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,vanilla_mean_latency_s,vanilla_std_latency_s,vanilla_mean_throughput_tok_per_s,vanilla_mean_accepted_tokens,triforce_mean_latency_s,triforce_std_latency_s,triforce_mean_throughput_tok_per_s,triforce_mean_accepted_tokens,triforce_mean_latency_s_per_token,kvquant_mean_latency_s,kvquant_std_latency_s,kvquant_mean_throughput_tok_per_s,kvquant_mean_accepted_tokens,kvquant_mean_latency_s_per_token,speedup_vanilla_vs_baseline,speedup_triforce_vs_baseline,speedup_kvquant_vs_baseline,speedup_triforce_vs_vanilla,speedup_kvquant_vs_vanilla,speedup_kvquant_vs_triforce
8192,16,16,54.095595598220825,0.0,4.732363091098302,45.80434799194336,0.0,5.588989063768105,0.3882978723404255,18.067096983711675,0.0,14.169404206486291,7.007518796992481,0.07057459759262373,11.268766460996686,0.0,22.717659549167518,6.925373134328358,0.0440186189882683,1.181014422642493,2.9941498430539513,4.800489546522757,2.535235629345329,4.064717123252203,1.6032896809287234
16384,16,16,100.06581616401672,0.0,2.558316214404261,84.6671712398529,0.0,3.023604027997815,0.2864321608040201,25.56186079978943,0.0,10.014920353611693,6.320284697508897,0.09985101874917746,10.840320528470553,0.0,23.615537873409977,6.457142857142857,0.0423450020643381,1.1818726750719133,3.9146530429756914,9.23089090412116,3.312246002080974,7.810393707223572,2.35803551496977
24576,16,16,148.49627804756165,0.0,1.7239489323631811,128.17797422409058,0.0,1.9972230139356169,0.23333333333333334,43.21503729874644,0.0,5.923863914087746,4.713513513513513,0.16880873944822827,13.812112497728924,0.0,18.53445662581254,4.7162534435261705,0.05395356444425361,1.158516343751455,3.436217745712073,10.75116337721535,2.966050297214685,9.28011368609736,3.1287782593612765
32768,16,16,195.57159543037415,0.0,1.3089835435286363,163.70840549468994,0.0,1.5637559917978898,0.24757281553398058,54.3195574550555,0.0,4.71285135582735,4.3824289405684755,0.21218577130881056,15.238187367679508,0.0,16.799898427747447,4.301507537688442,0.05952416940499808,1.194633805389533,3.600390072989675,12.834308353839074,3.0138022687343096,10.7432991565597,3.564699405801266
