on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,baseline_mean_accepted_tokens,baseline_mean_latency_s_per_token,quant_mean_latency_s,quant_std_latency_s,quant_mean_throughput_tok_per_s,quant_mean_accepted_tokens,quant_mean_latency_s_per_token,speedup_vs_triforce_baseline
4,16,41.574395307635896,0.0,6.157636162972187,5.37386018237082,0.16239998167045272,23.875635802515685,0.0,10.72222755102615,6.574545454545454,0.0932642023535769,1.7412895577530698
8,16,27.457962913074713,0.0,9.323342769834538,7.304347826086956,0.1072576676291981,25.363435810509742,0.0,10.093269772777486,5.317365269461078,0.09907592113480368,1.0825805745803994
12,16,33.82251851783609,0.0,7.568921866803031,5.111747851002866,0.13211921296029722,24.852999983162714,0.0,10.300567342913677,5.293413173652695,0.09708203118422935,1.360902850390295
16,16,31.86963449725668,0.0,8.032724693533474,4.9352112676056334,0.1244907597549089,14.297930813574975,0.0,17.904688681032383,4.580645161290323,0.05585129224052725,2.228968297076839
18,16,26.002738894397066,0.0,9.845116740958451,5.707006369426751,0.10157319880623854,12.564585993840144,0.0,20.374726244502238,5.13782991202346,0.04908041403843806,2.069526119455512
