on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,baseline_mean_accepted_tokens,baseline_mean_latency_s_per_token,quant_mean_latency_s,quant_std_latency_s,quant_mean_throughput_tok_per_s,quant_mean_accepted_tokens,quant_mean_latency_s_per_token,speedup_vs_triforce_baseline
4,16,37.51950847919171,0.0,6.823117102985968,6.0134228187919465,0.1465605799968426,27.410629569324538,0.0,9.339442545547794,5.847176079734219,0.10707277175517398,1.368794116322673
8,16,37.37088729396011,0.0,6.850252122361964,5.572755417956657,0.14598002849203168,32.06050422108772,0.0,7.9849024904485635,4.405194805194805,0.1252363446136239,1.165636293061776
12,16,31.670728377713502,0.0,8.083173741597482,5.557632398753894,0.12371378272544337,22.231839372177994,0.0,11.51501662612635,5.787781350482315,0.08684312254757029,1.424566264964463
16,16,26.410948785745873,0.0,9.692949771579752,6.01980198019802,0.10316776869431982,11.26417477683876,0.0,22.726920087069644,5.908496732026144,0.0440006827220264,2.344685634677092
18,16,29.45191261985085,0.0,8.692134983024964,5.132947976878612,0.11504653367129239,11.793275789450144,0.0,21.707285114879507,5.670886075949367,0.046067483552539625,2.497347907881329
