resident_layers,mean_latency_s,std_latency_s,mean_throughput_tok_per_s,mean_accepted_tokens,mean_latency_s_per_token
4,16.780587432049074,0.0,15.255723378972311,6.519572953736655,0.0655491696564417
8,13.989297866821289,0.0,18.29970327582777,7.003891050583658,0.05464569479227066
10,12.837773213859732,0.0,19.94115301270636,7.483870967741935,0.05014755161663958
12,14.746523117006516,0.0,17.360024323616084,6.136986301369863,0.057603605925806704
16,15.113935433759652,0.0,16.938010693639637,6.622710622710622,0.05903881028812364
18,13.753347433958536,0.0,18.61365032980318,7.264,0.05372401341390053
