gen_len,on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,baseline_mean_accepted_tokens,baseline_mean_latency_s_per_token,quant_mean_latency_s,quant_std_latency_s,quant_mean_throughput_tok_per_s,quant_mean_accepted_tokens,quant_mean_latency_s_per_token,speedup_vs_triforce_baseline
256,16,16,13.622535561615566,0.0,18.792389921985983,7.007518796992481,0.0532130295375608,10.341893282803623,0.0,24.753688033667274,6.925373134328358,0.04039802063595165,1.317218732499102
512,16,16,30.88153600692749,0.0,16.57948619800342,6.854961832061068,0.060315500013530254,20.78852298227454,0.0,24.62897438344032,6.863636363636363,0.04060258394975496,1.485508904757631
768,16,16,35.05806535543855,0.0,21.906514013639384,7.988439306358382,0.04564852259822728,31.412994699379833,0.0,24.448480870725838,6.556900726392252,0.040902336848150825,1.1160370315196557
1024,16,16,50.845776201105444,0.0,20.139332635023028,7.545923632610939,0.049654078321392035,34.82734840482126,0.0,29.402180955534487,7.3528816986855405,0.03401108242658326,1.4599381959858506
1536,16,16,78.72650519036628,0.0,19.510582824499103,7.551867219917012,0.051254235149978046,56.34898674511275,0.0,27.258697781876624,7.038961038961039,0.03668553824551611,1.3971237059944897
2048,16,16,113.92108163207116,0.0,17.977357400927673,7.198412698412699,0.05562552814065975,63.45025120441123,0.0,32.27725597810742,7.871313672922252,0.03098156797090392,1.7954394107134923
