gen_len,on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,baseline_mean_accepted_tokens,baseline_mean_latency_s_per_token,quant_mean_latency_s,quant_std_latency_s,quant_mean_throughput_tok_per_s,quant_mean_accepted_tokens,quant_mean_latency_s_per_token,speedup_vs_triforce_baseline
256,16,16,13.679596662521362,0.0,18.714002051052812,7.146245059288537,0.05343592446297407,11.126547813415527,0.0,23.008034863368408,6.096551724137931,0.043463077396154404,1.2294556130004284
512,16,16,26.332997228368857,0.0,19.44328613867077,7.403225806451613,0.051431635211657924,14.966709107391594,0.0,34.209257113652264,7.763213530655391,0.029231853725374207,1.759438032731177
768,16,16,41.033484516759074,0.0,18.71642169912063,7.238095238095238,0.053429016297863376,30.926885582593627,0.0,24.832762353291994,6.326241134751773,0.04026938226900212,1.3267900644950061
1024,16,16,51.88500618934631,0.0,19.73595216049643,7.358375634517767,0.05066895135678351,36.99502328725961,0.0,27.679398713952054,6.910834132310643,0.036127952428964466,1.4024861070222525
1536,16,16,76.50869370497666,0.0,20.076149854589502,7.371699390656737,0.049810347464177514,47.674230472562215,0.0,32.218663726182406,7.669004207573632,0.031037910463907692,1.604822835032638
2048,16,16,102.16461086273193,0.0,20.046080366827674,7.828418230563003,0.04988506389781833,63.27396092990029,0.0,32.36718501421035,7.737288135593221,0.030895488735302876,1.6146390926263912
