gen_len,on_chip_layers,resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,baseline_mean_accepted_tokens,baseline_mean_latency_s_per_token,quant_mean_latency_s,quant_std_latency_s,quant_mean_throughput_tok_per_s,quant_mean_accepted_tokens,quant_mean_latency_s_per_token,speedup_vs_triforce_baseline
256,16,16,15.143160733309658,0.0,16.905321452270496,6.744525547445256,0.05915297161449085,9.67107918639901,0.0,26.47067561601888,6.801498127340824,0.037777653071871135,1.5658191233307601
512,16,16,26.9659604934369,0.0,18.986900174559437,7.154598825831703,0.052667891588743944,18.556713015534157,0.0,27.591093291758924,6.863636363636363,0.03624358010846515,1.4531647103052794
768,16,16,39.99615202159808,0.0,19.20184720733327,7.434782608695652,0.05207832294478916,27.57062152980529,0.0,27.855737643409732,6.913705583756345,0.03589924678360064,1.4506801008588124
1024,16,16,51.94112825393677,0.0,19.71462758748195,7.434426229508197,0.050723758060485125,39.114120942198106,0.0,26.179803491256834,6.7894736842105265,0.03819738373261534,1.3279380183615555
1536,16,16,76.72586154690038,0.0,20.01932554463512,7.6696990902729185,0.04995173277792993,62.39198548435466,0.0,24.618546566131727,6.406718656268747,0.040619782216376736,1.2297390594524364
2048,16,16,101.13179912641354,0.0,20.250801604350226,7.795635976583289,0.04938076129219411,71.30281975881333,0.0,28.722566750200066,7.389623601220753,0.03481582996035807,1.418342212390741
