resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,baseline_mean_accepted_tokens,baseline_mean_latency_s_per_token,quant_mean_latency_s,quant_std_latency_s,quant_mean_throughput_tok_per_s,quant_mean_accepted_tokens,quant_mean_latency_s_per_token,speedup_vs_triforce_baseline
0,26.802359243539662,0.0,9.551397982314011,6.0134228187919465,0.1046967157950768,22.87693911303806,0.0,11.190308228520838,5.043988269794721,0.08936304341030492,1.1715885202607554
8,28.17564157339243,0.0,9.08586231597128,5.868421052631579,0.11006109989606418,21.422980180645354,0.0,11.949784663073341,5.146198830409356,0.08368351633064591,1.3152064435389705
16,27.93655276298523,0.0,9.16362165983447,5.607717041800643,0.10912715923041105,9.868813717004025,0.0,25.940301169015935,6.29553264604811,0.038550053582046974,2.83079137615602
