resident_layers,baseline_mean_latency_s,baseline_std_latency_s,baseline_mean_throughput_tok_per_s,baseline_mean_accepted_tokens,baseline_mean_latency_s_per_token,quant_mean_latency_s,quant_std_latency_s,quant_mean_throughput_tok_per_s,quant_mean_accepted_tokens,quant_mean_latency_s_per_token,speedup_vs_triforce_baseline
0,27.54895256101623,0.0,9.292549305931095,6.0,0.10761309594146964,23.163275405707047,0.0,11.051977560001115,6.068027210884353,0.09048154455354315,1.1893375215073694
8,30.14339793812145,0.0,8.492738626399,5.262536873156342,0.11774764819578691,19.79837445372366,0.0,12.93035448937333,5.357575757575757,0.07733740020985805,1.522518831461545
16,36.60709611759629,0.0,6.993179660512486,4.019323671497585,0.14299646920936052,10.510555505752563,0.0,24.356467159122833,6.225352112676056,0.04105685744434595,3.482888806168309
